file_name	seed	formula_x	formula_y
2021-10-11-20-26_seed_8732.png	8732	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-26_seed_8327.png	8327	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-26_seed_6498.png	6498	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-26_seed_3424.png	3424	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-26_seed_4653.png	4653	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-26_seed_8297.png	8297	runif(4, -4, 4) * x_i^4 - sin(y_i^4)	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-27_seed_5934.png	5934	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-27_seed_2432.png	2432	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-28_seed_7451.png	7451	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - cos(x_i^4)
2021-10-11-20-29_seed_7974.png	7974	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-30_seed_7974.png	7974	sin(y)	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-31_seed_7974.png	7974	runif(4, -4, 4) * sin(y)	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-32_seed_7974.png	7974	sin(y)	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-33_seed_7974.png	7974	runif(9, -9, 9) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-33_seed_7974.png	7974	runif(9, -9, 9) * x_i^4 - log(sin(y_i^4))	runif(23, -23, 23) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-34_seed_7974.png	7974	runif(9, -9, 9) * x_i^2 - log(sin(y_i^4))	runif(23, -23, 23) * y_i^2 - log(cos(x_i^4))
2021-10-11-20-34_seed_7974.png	7974	runif(0.005, -0.005, 0.005) * x_i^2 - log(sin(y_i^4))	runif(23, -23, 23) * y_i^2 - log(cos(x_i^4))
2021-10-11-20-35_seed_7974.png	7974	runif(0.005, -0.005, 0.005) * x_i^2 - log(sin(y_i^4))	runif(0.005, -0.005, 0.005) * y_i^2 - log(cos(x_i^4))
2021-10-11-20-35_seed_7974.png	7974	runif(1.005, -0.005, 0.005) * x_i^2 - log(sin(y_i^4))	runif(0.005, -0.005, 0.005) * y_i^2 - log(cos(x_i^4))
2021-10-11-20-35_seed_7974.png	7974	runif(1.005, -1.005, 1.005) * x_i^2 - log(sin(y_i^4))	runif(1.005, -1.005, 1.005) * y_i^2 - log(cos(x_i^4))
2021-10-11-20-36_seed_7974.png	7974	runif(1.005, -1.005, 1.005) * x_i^2 - sin(y_i^4)	runif(1.005, -1.005, 1.005) * y_i^2 - cos(x_i^4)
2021-10-11-20-36_seed_7974.png	7974	runif(1.005, -1.005, 1.005) * x_i^2.5 - sin(y_i^4)	runif(1.005, -1.005, 1.005) * y_i^2.5 - cos(x_i^4)
2021-10-11-20-38_seed_7974.png	7974	NULL	runif(1.005, -1.005, 1.005) * y_i^2.5 - cos(x_i^4)
2021-10-11-20-38_seed_7974.png	7974	NULL	runif(1.005, -1.005, 1.005) * y_i^2.5 - cos(x_i^4)
2021-10-11-20-39_seed_2374.png	2374	c(1557, 115, 7236, 7785, 5939)	c(9880, 3050, 3116, 7439, 2736)
2021-10-11-20-42_seed_9333.png	9333	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-20-42_seed_2682.png	2682	runif(4, -4, 4) * x_i^4 - log(sin(y_i^4))	runif(4, -4, 4) * y_i^4 - log(cos(x_i^4))
2021-10-11-21-19_seed_569.png	569	runif(1, -1)	runif(1, -1)
2021-10-11-21-20_seed_404.png	404	runif(1, -1) + y	runif(1, -1)
2021-10-11-21-20_seed_3513.png	3513	runif(1, -1)	runif(1, -1) + x
2021-10-11-21-21_seed_6464.png	6464	runif(1, -1)	runif(1, -1) + cos(x)
2021-10-11-21-21_seed_6145.png	6145	runif(1, -1)	runif(1, -1) * x
